"cumulative_cvaccine","cvaccine","date_vaccine_completed","province"
2705,0,"24-01-2021","Nova Scotia"
0,0,"12-01-2021","Nunavut"
0,0,"13-01-2021","Nunavut"
0,0,"14-01-2021","Nunavut"
0,0,"15-01-2021","Nunavut"
0,0,"16-01-2021","Nunavut"
0,0,"17-01-2021","Nunavut"
0,0,"18-01-2021","Nunavut"
0,0,"19-01-2021","Nunavut"
0,0,"20-01-2021","Nunavut"
0,0,"21-01-2021","Nunavut"
0,0,"22-01-2021","Nunavut"
0,0,"23-01-2021","Nunavut"
0,0,"24-01-2021","Nunavut"
0,0,"12-01-2021","NWT"
0,0,"13-01-2021","NWT"
0,0,"14-01-2021","NWT"
0,0,"15-01-2021","NWT"
0,0,"16-01-2021","NWT"
0,0,"17-01-2021","NWT"
0,0,"18-01-2021","NWT"
0,0,"19-01-2021","NWT"
0,0,"20-01-2021","NWT"
0,0,"21-01-2021","NWT"
0,0,"22-01-2021","NWT"
0,0,"23-01-2021","NWT"
0,0,"24-01-2021","NWT"
6064,6064,"12-01-2021","Ontario"
8778,2714,"13-01-2021","Ontario"
13293,4515,"14-01-2021","Ontario"
17094,3801,"15-01-2021","Ontario"
19333,2239,"16-01-2021","Ontario"
21714,2381,"17-01-2021","Ontario"
21752,38,"18-01-2021","Ontario"
25609,3857,"19-01-2021","Ontario"
32361,6752,"20-01-2021","Ontario"
40225,7864,"21-01-2021","Ontario"
49292,9067,"22-01-2021","Ontario"
57907,8615,"23-01-2021","Ontario"
62881,4974,"24-01-2021","Ontario"
1154,1154,"12-01-2021","PEI"
1154,0,"13-01-2021","PEI"
1154,0,"14-01-2021","PEI"
1154,0,"15-01-2021","PEI"
1154,0,"16-01-2021","PEI"
1154,0,"17-01-2021","PEI"
1154,0,"18-01-2021","PEI"
1407,253,"19-01-2021","PEI"
1407,0,"20-01-2021","PEI"
1799,392,"21-01-2021","PEI"
1799,0,"22-01-2021","PEI"
1799,0,"23-01-2021","PEI"
1799,0,"24-01-2021","PEI"
0,0,"12-01-2021","Quebec"
0,0,"13-01-2021","Quebec"
0,0,"14-01-2021","Quebec"
0,0,"15-01-2021","Quebec"
0,0,"16-01-2021","Quebec"
0,0,"17-01-2021","Quebec"
0,0,"18-01-2021","Quebec"
0,0,"19-01-2021","Quebec"
0,0,"20-01-2021","Quebec"
0,0,"21-01-2021","Quebec"
0,0,"22-01-2021","Quebec"
0,0,"23-01-2021","Quebec"
0,0,"24-01-2021","Quebec"
1449,1449,"12-01-2021","Saskatchewan"
1449,0,"13-01-2021","Saskatchewan"
1752,303,"14-01-2021","Saskatchewan"
1752,0,"15-01-2021","Saskatchewan"
1752,0,"16-01-2021","Saskatchewan"
1752,0,"17-01-2021","Saskatchewan"
1752,0,"18-01-2021","Saskatchewan"
2180,428,"19-01-2021","Saskatchewan"
2592,412,"20-01-2021","Saskatchewan"
3054,462,"21-01-2021","Saskatchewan"
3415,361,"22-01-2021","Saskatchewan"
3416,1,"23-01-2021","Saskatchewan"
3564,148,"24-01-2021","Saskatchewan"
0,0,"12-01-2021","Yukon"
0,0,"13-01-2021","Yukon"
0,0,"14-01-2021","Yukon"
0,0,"15-01-2021","Yukon"
0,0,"16-01-2021","Yukon"
0,0,"17-01-2021","Yukon"
0,0,"18-01-2021","Yukon"
0,0,"19-01-2021","Yukon"
0,0,"20-01-2021","Yukon"
0,0,"21-01-2021","Yukon"
0,0,"22-01-2021","Yukon"
0,0,"23-01-2021","Yukon"
0,0,"24-01-2021","Yukon"
