"Product.Title","X","Preliminary.dataset.on.confirmed.cases.of.COVID.19..Public.Health.Agency.of.Canada","X.1","X.2"
"11","Gender","",NA,"Gender codes: 1 = Male, 2 = Female, 9 = Not stated. These values are corrected as the Public Health Agency of Canada (PHAC) receives new information. It should be noted that the French form uses the term 'sex' contrary to the English form that uses the term 'gender'. In the context of this table, the term gender is also used in French. The cases that have reported 'other' for sex or 'non-binary' for gender have been reclassified as 'not stated' gender."
"12","Age group","",NA,"Age group codes: 1 = 0 to 19 years, 2 = 20 to 29 years, 3 = 30 to 39 years, 4 = 40 to 49 years, 5 = 50 to 59 years, 6 = 60 to 69 years, 7 = 70 to 79 years, 8 = 80 years or older, 99 = Not stated. These values are corrected as the Public Health Agency of Canada (PHAC) receives new information."
"13","Occupation","",NA,"Occupation: 1 = Health care worker, 2 = School or daycare worker/attendee, 3 = Long term care resident, 4 = Other, 9 = Not stated."
"14","Asymptomatic","",NA,"Asymptomatic: 1=  Yes, 2  = No, 9 = Not Stated."
"15","Onset week of symptoms","",NA,"Week of symptom(s) onset."
"24","","",NA,"""0"" represents the first days of the year leading up to, but not including the first Sunday. ""1"" represents the first full week of the year, beginning on the first Sunday, and so on."
"16","Onset year of symptoms","",NA,"Year of symptom(s) onset. 20 = the year 2020, 99 = Not stated."
"17","Symptom, cough","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, fever","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, chills","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, sore throat","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, runny nose","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, shortness of breath","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, nausea","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, headache","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, weakness","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, pain","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, irritability","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, diarrhea","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"17","Symptom, other","",NA,"Symptom: 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"18","Hospital status","",NA,"Hospitalization status: 1 = Hospitalized and in Intensive care unit 2 = Hospitalized, but not in intensive care unit, 3= Not hospitalized, 9 = Not Stated/Unknown."
"19","Recovered","",NA,"Indicates if the case has recovered. 1 = Yes, 2 = No, 9 = Not Stated/Unknown."
"20","Recovery week","",NA,"Week of recovery date."
"24","","",NA,"""0"" represents the first days of the year leading up to, but not including the first Sunday. ""1"" represents the first full week of the year, beginning on the first Sunday, and so on."
"21","Recovery year","",NA,"Year of recovery date. 20 = the year 2020, 99 = Not stated."
"22","Death","",NA,"Death: 1 = Yes, 2 = No, 9 = Not stated."
"23","Transmission","",NA,"Transmission: 1 = Domestic acquisition - Contact of COVID case, contact with traveller, or unknown source, 2 = International travel, 9 = Not stated."
