"active_cases","active_cases_change","cumulative_cases","cumulative_deaths","cumulative_recovered","date_active","province"
36334,98,91591,7141,48116,"30-05-2020","Canada"
36148,-186,92396,7356,48892,"31-05-2020","Canada"
36090,-58,93214,7385,49739,"01-06-2020","Canada"
36071,-19,93884,7456,50357,"02-06-2020","Canada"
35967,-104,94573,7558,51048,"03-06-2020","Canada"
35763,-204,95198,7697,51738,"04-06-2020","Canada"
35557,-206,95880,7758,52565,"05-06-2020","Canada"
34960,-597,96399,7830,53609,"06-06-2020","Canada"
35014,54,97099,7857,54228,"07-06-2020","Canada"
34996,-18,97714,7890,54828,"08-06-2020","Canada"
34657,-339,98173,7949,55567,"09-06-2020","Canada"
34007,-650,98654,8008,56639,"10-06-2020","Canada"
33386,-621,99093,8049,57658,"11-06-2020","Canada"
32911,-475,99537,8103,58523,"12-06-2020","Canada"
32469,-442,99984,8162,59353,"13-06-2020","Canada"
31870,-599,100339,8197,60272,"14-06-2020","Canada"
31447,-423,100716,8227,61042,"15-06-2020","Canada"
31337,-110,101048,8268,61443,"16-06-2020","Canada"
31119,-218,101439,8303,62017,"17-06-2020","Canada"
30973,-146,101819,8350,62496,"18-06-2020","Canada"
30861,-112,102259,8395,63003,"19-06-2020","Canada"
30682,-179,102625,8455,63488,"20-06-2020","Canada"
30568,-114,102923,8469,63886,"21-06-2020","Canada"
30466,-102,103281,8481,64334,"22-06-2020","Canada"
30435,-31,103638,8499,64704,"23-06-2020","Canada"
30335,-100,103956,8530,65091,"24-06-2020","Canada"
30348,13,104325,8552,65425,"25-06-2020","Canada"
30219,-129,104501,8556,65726,"26-06-2020","Canada"
30206,-13,104744,8565,65973,"27-06-2020","Canada"
30275,69,105036,8570,66191,"28-06-2020","Canada"
29888,-387,105683,8617,67178,"29-06-2020","Canada"
29731,-157,105962,8639,67592,"30-06-2020","Canada"
29742,11,106153,8667,67744,"01-07-2020","Canada"
29473,-269,106510,8690,68347,"02-07-2020","Canada"
29430,-43,106835,8712,68693,"03-07-2020","Canada"
29346,-84,107056,8720,68990,"04-07-2020","Canada"
29293,-53,107261,8729,69239,"05-07-2020","Canada"
29382,89,107690,8738,69570,"06-07-2020","Canada"
29256,-126,107894,8755,69883,"07-07-2020","Canada"
29183,-73,108207,8777,70247,"08-07-2020","Canada"
29168,-15,108529,8787,70574,"09-07-2020","Canada"
29151,-17,108853,8801,70901,"10-07-2020","Canada"
28951,-200,109026,8809,71266,"11-07-2020","Canada"
28943,-8,109227,8817,71467,"12-07-2020","Canada"
29239,296,109907,8827,71841,"13-07-2020","Canada"
29204,-35,110210,8836,72170,"14-07-2020","Canada"
29220,16,110553,8848,72485,"15-07-2020","Canada"
29298,78,111000,8866,72836,"16-07-2020","Canada"
5873,-23425,111436,8874,96689,"17-07-2020","Canada"
6008,135,111799,8882,96909,"18-07-2020","Canada"
6181,173,112118,8886,97051,"19-07-2020","Canada"
6562,381,112927,8891,97474,"20-07-2020","Canada"
6834,272,113487,8896,97757,"21-07-2020","Canada"
6956,122,114001,8903,98142,"22-07-2020","Canada"
7045,89,114471,8907,98519,"23-07-2020","Canada"
7231,186,115018,8914,98873,"24-07-2020","Canada"
7320,89,115354,8919,99115,"25-07-2020","Canada"
7391,71,115670,8924,99355,"26-07-2020","Canada"
7598,207,116393,8935,99860,"27-07-2020","Canada"
7720,122,116802,8948,100134,"28-07-2020","Canada"
7879,159,117298,8954,100465,"29-07-2020","Canada"
7812,-67,117640,8966,100862,"30-07-2020","Canada"
7941,129,118139,8971,101227,"31-07-2020","Canada"
7996,55,118409,8977,101436,"01-08-2020","Canada"
8079,83,118634,8981,101574,"02-08-2020","Canada"
8262,183,118845,8986,101597,"03-08-2020","Canada"
8134,-128,119580,8996,102450,"04-08-2020","Canada"
8175,41,119964,9001,102788,"05-08-2020","Canada"
8219,44,120329,9004,103106,"06-08-2020","Canada"
8312,93,120755,9008,103435,"07-08-2020","Canada"
8416,104,120997,9015,103566,"08-08-2020","Canada"
8462,46,121209,9019,103728,"09-08-2020","Canada"
6528,-1934,121908,9025,106355,"10-08-2020","Canada"
6478,-50,122254,9030,106746,"11-08-2020","Canada"
6464,-14,122656,9044,107148,"12-08-2020","Canada"
6442,-22,123048,9054,107552,"13-08-2020","Canada"
6467,25,123468,9059,107942,"14-08-2020","Canada"
6399,-68,123678,9062,108217,"15-08-2020","Canada"
6298,-101,123846,9064,108484,"16-08-2020","Canada"
6455,157,124584,9070,109059,"17-08-2020","Canada"
6507,52,124940,9080,109353,"18-08-2020","Canada"
6362,-145,125265,9085,109818,"19-08-2020","Canada"
6295,-67,125669,9090,110284,"20-08-2020","Canada"
6433,138,126178,9101,110644,"21-08-2020","Canada"
6425,-8,126406,9107,110874,"22-08-2020","Canada"
6431,6,126649,9110,111108,"23-08-2020","Canada"
6645,214,127454,9119,111690,"24-08-2020","Canada"
6586,-59,127763,9127,112050,"25-08-2020","Canada"
6664,78,128248,9129,112455,"26-08-2020","Canada"
6739,75,128700,9136,112825,"27-08-2020","Canada"
6825,86,129204,9145,113234,"28-08-2020","Canada"
6834,9,129485,9150,113501,"29-08-2020","Canada"
6910,76,129727,9153,113664,"30-08-2020","Canada"
7458,548,130778,9162,114158,"31-08-2020","Canada"
7503,45,131278,9168,114607,"01-09-2020","Canada"
7561,58,131783,9172,115050,"02-09-2020","Canada"
7748,187,132370,9178,115444,"03-09-2020","Canada"
7874,126,132980,9180,115926,"04-09-2020","Canada"
8021,147,133339,9182,116136,"05-09-2020","Canada"
8167,146,133706,9182,116357,"06-09-2020","Canada"
8494,327,134137,9184,116459,"07-09-2020","Canada"
8852,358,135609,9192,117565,"08-09-2020","Canada"
8738,-114,136190,9195,118257,"09-09-2020","Canada"
8622,-116,136814,9202,118990,"10-09-2020","Canada"
8661,39,137540,9205,119674,"11-09-2020","Canada"
8719,58,138005,9211,120075,"12-09-2020","Canada"
8896,177,138540,9213,120431,"13-09-2020","Canada"
9513,617,139958,9221,121224,"14-09-2020","Canada"
9685,172,140755,9230,121840,"15-09-2020","Canada"
10025,340,141709,9235,122449,"16-09-2020","Canada"
10564,539,142876,9239,123073,"17-09-2020","Canada"
10950,386,143918,9245,123723,"18-09-2020","Canada"
11315,365,144753,9251,124187,"19-09-2020","Canada"
11607,292,145554,9256,124691,"20-09-2020","Canada"
12427,820,147409,9268,125714,"21-09-2020","Canada"
12518,91,148697,9275,126904,"22-09-2020","Canada"
12724,206,149796,9284,127788,"23-09-2020","Canada"
13124,400,151121,9290,128707,"24-09-2020","Canada"
13703,579,152571,9295,129573,"25-09-2020","Canada"
14186,483,153817,9303,130328,"26-09-2020","Canada"
14822,636,155228,9308,131098,"27-09-2020","Canada"
15546,724,157471,9318,132607,"28-09-2020","Canada"
16072,526,159140,9331,133737,"29-09-2020","Canada"
16648,576,160956,9337,134971,"30-09-2020","Canada"
17068,420,162777,9359,136350,"01-10-2020","Canada"
17827,759,164898,9457,137614,"02-10-2020","Canada"
18323,496,166699,9509,138867,"03-10-2020","Canada"
18543,220,168308,9523,140242,"04-10-2020","Canada"
19335,792,171218,9550,142333,"05-10-2020","Canada"
20030,695,173598,9574,143994,"06-10-2020","Canada"
20206,176,175457,9585,145666,"07-10-2020","Canada"
20826,620,177933,9599,147508,"08-10-2020","Canada"
21412,586,180464,9628,149424,"09-10-2020","Canada"
21574,162,182582,9651,151357,"10-10-2020","Canada"
21306,-268,184182,9657,153219,"11-10-2020","Canada"
21984,678,185914,9672,154258,"12-10-2020","Canada"
22146,162,189328,9696,157486,"13-10-2020","Canada"
22818,672,191877,9708,159351,"14-10-2020","Canada"
22910,92,194148,9748,161490,"15-10-2020","Canada"
23299,389,196714,9771,163644,"16-10-2020","Canada"
23507,208,198741,9788,165446,"17-10-2020","Canada"
23618,111,200532,9802,167112,"18-10-2020","Canada"
24309,691,203801,9821,169671,"19-10-2020","Canada"
24544,235,206127,9840,171743,"20-10-2020","Canada"
25203,659,208825,9874,173748,"21-10-2020","Canada"
25951,748,211663,9907,175805,"22-10-2020","Canada"
26502,551,214312,9931,177879,"23-10-2020","Canada"
26926,424,216524,9962,179636,"24-10-2020","Canada"
27156,230,218570,9985,181429,"25-10-2020","Canada"
28421,1265,222743,10016,184306,"26-10-2020","Canada"
28955,534,225461,10042,186464,"27-10-2020","Canada"
29186,231,228128,10075,188867,"28-10-2020","Canada"
29814,628,231140,10118,191208,"29-10-2020","Canada"
30594,780,234686,10155,193937,"30-10-2020","Canada"
30988,394,237044,10180,195876,"31-10-2020","Canada"
31380,392,239328,10219,197729,"01-11-2020","Canada"
32618,1238,242923,10253,200052,"02-11-2020","Canada"
33823,1205,247657,10325,203509,"03-11-2020","Canada"
34550,727,250968,10381,206037,"04-11-2020","Canada"
35659,1109,254089,10432,207998,"05-11-2020","Canada"
36904,1245,258625,10484,211237,"06-11-2020","Canada"
38399,1495,262031,10538,213094,"07-11-2020","Canada"
39615,1216,265183,10563,215005,"08-11-2020","Canada"
42722,3107,271732,10610,218400,"09-11-2020","Canada"
44273,1551,276231,10679,221279,"10-11-2020","Canada"
45575,1302,279509,10735,223199,"11-11-2020","Canada"
48097,2522,285686,10814,226775,"12-11-2020","Canada"
48937,840,290454,10871,230646,"13-11-2020","Canada"
49971,1034,293815,10929,232915,"14-11-2020","Canada"
50677,706,297059,10981,235401,"15-11-2020","Canada"
53856,3179,305198,11055,240287,"16-11-2020","Canada"
54396,540,309665,11117,244152,"17-11-2020","Canada"
54642,246,314181,11218,248321,"18-11-2020","Canada"
55386,744,318972,11292,252294,"19-11-2020","Canada"
55963,577,323975,11366,256646,"20-11-2020","Canada"
57054,1091,328888,11436,260398,"21-11-2020","Canada"
58023,969,333555,11483,264049,"22-11-2020","Canada"
59697,1674,340442,11546,269199,"23-11-2020","Canada"
60687,990,345728,11650,273391,"24-11-2020","Canada"
61880,1193,350852,11740,277232,"25-11-2020","Canada"
63823,1943,356580,11828,280929,"26-11-2020","Canada"
64106,283,362533,11927,286500,"27-11-2020","Canada"
65463,1357,368154,12003,290688,"28-11-2020","Canada"
67065,1602,373509,12055,294389,"29-11-2020","Canada"
69300,2235,381430,12158,299972,"30-11-2020","Canada"
69968,668,387103,12247,304888,"01-12-2020","Canada"
71256,1288,393500,12358,309886,"02-12-2020","Canada"
72642,1386,399703,12443,314618,"03-12-2020","Canada"
73527,885,406163,12538,320098,"04-12-2020","Canada"
74888,1361,412396,12626,324882,"05-12-2020","Canada"
76818,1930,418669,12713,329138,"06-12-2020","Canada"
75044,-1774,426602,12817,338741,"07-12-2020","Canada"
75687,643,432799,12913,344199,"08-12-2020","Canada"
76106,419,439152,13036,350010,"09-12-2020","Canada"
76959,853,445857,13163,355735,"10-12-2020","Canada"
76957,-2,452540,13283,362300,"11-12-2020","Canada"
76576,-381,458439,13389,368474,"12-12-2020","Canada"
77528,952,464250,13469,373253,"13-12-2020","Canada"
79753,2225,472810,13590,379467,"14-12-2020","Canada"
79313,-440,478991,13703,385975,"15-12-2020","Canada"
79748,435,485529,13835,391946,"16-12-2020","Canada"
80201,453,492569,13956,398412,"17-12-2020","Canada"
79587,-614,499269,14071,405611,"18-12-2020","Canada"
80049,462,505631,14197,411385,"19-12-2020","Canada"
80480,431,511437,14260,416697,"20-12-2020","Canada"
81305,825,519287,14372,423610,"21-12-2020","Canada"
79522,-1783,525559,14476,431561,"22-12-2020","Canada"
79400,-122,532506,14654,438452,"23-12-2020","Canada"
79366,-34,538204,14774,444064,"24-12-2020","Canada"
79763,397,538604,14775,444066,"25-12-2020","Canada"
77319,-2444,540326,14784,448223,"26-12-2020","Canada"
83947,6628,550123,14945,451231,"27-12-2020","Canada"
77519,-6428,560862,15219,468124,"28-12-2020","Canada"
76454,-1065,569738,15427,477857,"29-12-2020","Canada"
77204,750,577334,15547,484583,"30-12-2020","Canada"
78969,1765,584449,15667,489813,"31-12-2020","Canada"
77205,-1764,585163,15679,492279,"01-01-2021","Canada"
78976,1771,589788,15729,495083,"02-01-2021","Canada"
88382,9406,601844,15897,497565,"03-01-2021","Canada"
82211,-6171,616214,16119,517884,"04-01-2021","Canada"
84709,2498,623555,16282,522564,"05-01-2021","Canada"
83801,-908,631482,16454,531227,"06-01-2021","Canada"
84765,964,639661,16629,538267,"07-01-2021","Canada"
86102,1337,648858,16785,545971,"08-01-2021","Canada"
87953,1851,657256,16915,552388,"09-01-2021","Canada"
88382,429,664151,16997,558772,"10-01-2021","Canada"
87311,-1071,673032,17148,568573,"11-01-2021","Canada"
85346,-1965,679111,17318,576447,"12-01-2021","Canada"
84184,-1162,686299,17463,584652,"13-01-2021","Canada"
82767,-1417,693781,17616,593398,"14-01-2021","Canada"
81010,-1757,700681,17760,601911,"15-01-2021","Canada"
80958,-52,706947,17904,608085,"16-01-2021","Canada"
79435,-1523,712811,18051,615325,"17-01-2021","Canada"
78256,-1179,719456,18167,623033,"18-01-2021","Canada"
75905,-2351,724657,18322,630430,"19-01-2021","Canada"
73056,-2849,730194,18518,638620,"20-01-2021","Canada"
72018,-1038,736430,18683,645729,"21-01-2021","Canada"
70503,-1515,742205,18873,652829,"22-01-2021","Canada"
69162,-1341,747155,19009,658984,"23-01-2021","Canada"
67789,-1373,751526,19116,664621,"24-01-2021","Canada"
